60,48,41,57,44,36,87,60,34,55,41,46,42,43,51,57,40,55,45,50,42,48,59,51,43,182,431,382,440,466,507,651,594,571,736,727,639,685,974,977,1024,950,781,940,1041,707,779,714,1012,990,1109,996,582,304,90,105,119,89,121,92,55,106,172,585,966,929,1349,1170,1172,955,1015,771,600,310,168,99,120,97,86,86,72,276,764,813,969,636,885,843,714,696,678,664,633,595,519,497,417,416,396,380,384,292,273,236,281,206,209,223,236,211,215,168,154,139,178,67,109,96,90,92,65,91,55,39,70,67,83,72,84,68,87,86,82,65,63,46,47,42,49,60,57,43,52,41,52,27,54,73,59,66,45,49,44,79,82,46,80,59,53,80,58,74,45,87,49,50,57,64,33,40,57,41
25,31,39,35,59,37,50,57,35,34,31,56,30,44,92,34,30,61,41,55,52,34,36,403,649,614,614,640,915,669,760,1043,1137,1120,1062,1159,960,926,1018,940,888,1032,1238,1126,711,294,140,74,64,72,70,45,50,18,61,70,276,807,1017,1093,963,1008,986,771,541,327,220,79,41,36,52,22,47,32,271,646,732,669,823,768,712,684,689,628,642,592,500,436,431,384,376,431,297,334,316,250,277,218,219,283,246,221,183,184,80,98,131,151,93,75,58,70,50,81,33,33,32,56,107,39,36,41,50,38,24,38,45,45,40,39,42,50,47,48,37,57,56,25,45,42,30,28,34,57,29,20,29,38,34,28,30,23,16,25,43,39,21,75,26,29,29,28,37,38,24,40,47,42,38,52,36,27
58,74,83,47,51,41,43,40,46,34,43,84,29,28,36,55,41,58,73,107,165,185,211,439,374,504,572,417,636,537,834,594,887,1039,1084,1044,1153,1135,1115,1144,1127,1108,1289,1331,1524,1375,1137,576,567,361,221,58,84,90,107,49,77,40,81,531,1087,1421,1228,1273,1485,1344,1356,795,781,651,538,488,375,373,268,252,286,320,424,797,1011,1200,1122,1235,969,1182,1031,999,1116,1274,1124,900,967,767,824,874,834,880,826,852,794,776,775,922,742,766,643,573,465,585,539,488,444,474,456,496,590,520,620,636,603,459,391,239,167,156,94,94,78,27,26,47,57,61,127,94,19,34,67,86,64,39,29,56,81,48,50,61,51,62,41,51,74,65,47,55,23,59,41,53,45,72,28,23,42,45,33,31,33,30,59,41
55,86,101,48,54,80,51,29,59,87,156,222,146,191,197,147,194,251,227,225,387,419,415,511,738,580,728,856,945,895,1078,900,974,1181,1226,1273,966,1213,1281,1407,1204,679,351,110,87,65,79,66,65,76,69,70,181,563,909,1390,1027,1015,1069,1201,967,556,294,213,126,52,74,63,51,36,123,361,581,747,847,759,854,764,744,609,584,497,421,306,304,233,379,386,410,426,381,399,403,394,306,131,184,60,56,44,61,25,46,54,38,111,210,238,213,213,272,308,289,242,173,106,69,63,30,36,22,31,51,41,29,56,43,45,41,57,43,44,32,42,63,23,38,20,28,48,24,24,46,49,54,47,67,120,84,86,98,102,63,47,93,93,54,50,69,42,38,56,44,44,45,32,45,53,28,31,30,32
24,52,40,64,41,44,51,27,48,52,64,61,61,41,39,39,64,46,35,48,38,44,28,44,35,60,292,228,313,305,523,475,446,462,605,576,611,771,776,987,815,1056,859,854,946,1119,1213,956,642,370,160,74,62,67,53,78,58,99,159,499,1083,1126,1249,1175,1077,1050,897,525,353,250,179,129,122,90,64,86,138,388,776,841,930,878,896,919,974,814,803,569,593,645,562,599,623,706,613,517,400,424,438,342,410,367,295,245,237,243,263,226,224,134,144,112,102,89,73,60,45,36,36,30,47,24,22,22,94,60,59,47,46,36,59,51,81,59,47,22,59,46,47,51,36,47,58,66,90,73,79,79,58,94,136,67,36,57,60,91,70,48,62,72,39,34,92,54,105,68,52,52,63,59,72,71
38,26,13,55,51,47,58,50,25,38,32,41,38,38,34,29,54,39,45,216,336,355,599,496,501,455,556,774,799,841,681,868,741,822,835,889,1130,1092,1119,523,447,235,66,84,45,38,29,26,58,74,92,770,928,1174,1208,1206,1234,1081,852,480,366,293,248,185,195,227,215,197,370,613,684,844,816,798,770,779,726,811,634,687,642,625,598,527,506,558,551,480,459,353,346,313,230,243,293,189,237,187,173,225,184,143,188,201,145,113,72,50,57,32,78,53,23,54,27,62,63,41,27,102,47,75,41,44,43,36,26,40,65,48,112,79,37,85,121,44,35,65,54,41,57,75,35,29,55,30,29,41,44,29,25,55,47,56,54,32,56,30,33,45,50,36,46,27,23,33,65,22,31,39,45,40
58,42,20,42,25,61,40,11,27,80,25,25,46,31,19,59,31,28,37,19,173,394,383,575,441,537,648,875,681,661,761,950,667,953,852,745,916,854,1137,1252,1194,924,509,355,101,53,56,71,50,40,24,62,210,836,1209,1232,1181,1039,1052,1114,1044,815,625,376,282,184,166,139,137,186,300,492,745,862,894,1074,922,805,870,597,621,546,460,370,362,338,315,296,325,313,263,308,320,301,253,227,186,166,115,121,102,103,138,112,56,48,63,69,31,32,43,48,36,47,34,30,38,22,71,42,60,39,56,67,40,42,37,40,50,45,58,43,67,65,51,68,41,46,33,35,39,67,51,35,25,65,32,25,32,41,58,94,106,63,28,87,28,50,52,21,15,90,40,42,68,23,30,25,60,30,72,101
22,24,22,39,22,129,19,51,17,47,71,31,22,23,37,50,38,29,28,26,35,49,31,37,74,33,48,36,289,359,474,489,491,539,710,827,529,570,896,836,968,851,782,814,832,1167,1110,976,505,315,110,41,63,59,44,23,43,62,98,602,1055,1269,1067,1114,1044,1079,798,705,347,241,222,143,113,177,127,148,248,506,766,914,1008,965,864,796,712,735,644,529,451,469,383,367,329,362,298,225,236,203,133,255,78,201,216,140,158,123,155,114,134,129,96,54,71,89,57,33,38,37,116,59,69,49,60,33,40,76,68,62,102,72,40,103,66,69,66,63,60,111,62,66,74,90,47,44,45,63,45,84,55,61,65,51,86,36,37,32,42,45,34,47,28,57,34,48,35,31,24,30,39,64,26,54
91,78,77,79,100,83,50,92,49,47,27,75,64,96,44,53,64,54,76,60,65,267,269,368,479,773,603,547,646,865,719,737,749,828,712,1029,858,866,907,939,842,1058,1160,1229,1020,446,384,152,63,75,67,36,24,23,177,190,910,1076,1223,979,1271,1156,837,580,344,263,151,187,132,155,130,172,226,598,758,822,858,948,982,769,794,571,583,617,410,491,402,396,353,270,328,329,285,283,243,266,304,131,218,186,93,75,65,100,146,66,69,84,59,44,48,40,36,38,17,17,23,23,21,56,57,28,64,48,31,30,29,26,45,72,25,37,100,31,24,23,49,39,15,18,25,58,59,60,98,121,68,73,75,73,87,55,79,66,65,54,41,40,38,22,48,62,35,52,32,38,22,36,25,28,32,23
111,120,51,67,46,49,31,68,71,73,119,114,114,100,79,87,118,65,58,108,74,67,36,56,192,366,514,525,491,535,646,705,620,807,692,835,986,828,1058,954,883,900,1031,929,887,884,1296,1129,667,464,252,95,63,80,41,67,41,72,90,223,853,1067,987,1232,1085,878,866,896,547,269,220,160,155,250,129,153,186,220,404,714,795,891,984,943,931,823,610,507,502,437,375,414,331,364,243,257,275,172,179,168,223,106,219,149,73,121,104,77,121,79,155,100,100,88,83,28,36,20,28,28,32,51,29,22,24,46,33,23,24,28,33,62,53,44,42,51,61,39,36,48,26,37,24,40,24,26,26,30,36,26,20,40,31,50,43,50,39,45,53,45,45,71,45,28,17,52,33,57,51,48,60,47
