250,79,81
245,77,79
240,76,78
235,70,72
230,76,76
225,75,78
220,75,76
215,74,76
210,72,76
205,74,75
200,73,75
195,72,74
190,71,74
185,70,72
180,70,72
175,68,71
170,70,71
165,68,70
160,67,69
155,66,68
150,67,67
145,64,66
140,64,67
135,62,64
130,61,63
125,59,60
120,58,60
115,56,58
110,54,56
105,51,53
100,51,51
95,56,52
90,38,42
85,39,40
80,41,42
75,38,38
70,35,37
65,33,33
60,30,30
65,27,29
70,27,27
75,29,30
80,32,32
85,35,35
90,36,38
95,40,41
100,42,44
105,45,46
110,47,48
115,50,51
120,51,53
125,53,54
130,56,58
135,58,59
140,60,61
145,60,62
150,62,66
155,64,66
160,66,66
165,66,68
170,66,69
175,68,69
180,70,72
185,72,73
190,72,74
195,72,73
200,73,76
205,74,75
210,75,76
215,74,77
220,73,65
225,73,71
230,76,78
235,76,78
240,76,78
245,77,79
250,75,79
